"anio","provincia_nombre","provincia_id","nacimientos","TBN","TGF","TFA"
2019,"Formosa",34,10028,"16.71","2.06","35.1"
2019,"Jujuy",38,10132,"13.29","1.67","19.78"
2019,"La Pampa",42,4291,"12.07","1.64","16.13"
2019,"La Rioja",46,5228,"13.46","1.6","18.85"
2019,"Mendoza",50,26748,"13.58","1.79","16.79"
2019,"Misiones",54,22832,"18.3","2.21","34.94"
2019,"Neuquén",58,9416,"14.36","1.87",17
2019,"Río Negro",62,9567,"12.96","1.72","15.17"
2019,"Salta",66,22527,"16.02","1.98","28.32"
2019,"San Juan",70,12356,"15.99","2.08","25.8"
2019,"San Luis",74,6547,"13.04","1.69","17.81"
2019,"Santa Cruz",78,4671,"13.1","1.66","15.59"
2019,"Santa Fe",82,46113,"13.14","1.73","20.71"
2019,"Santiago del Estero",86,17568,"18.14","2.23","33.53"
2019,"Tierra del Fuego",94,2362,"13.96","1.72","10.92"
2019,"Tucumán",90,24378,"14.56","1.83","22.51"
2020,"Buenos Aires",6,201388,"11.48","1.56","14.67"
2020,"Catamarca",10,5034,"12.12","1.57","16.46"
2020,"Chaco",22,18338,"15.22","1.86","27.59"
2020,"Chubut",26,6846,"11.06","1.46","10.96"
2020,"Ciudad de Buenos Aires",2,28047,"9.12","1.2","4.23"
2020,"Córdoba",14,45269,"12.04","1.59","15.75"
2020,"Corrientes",18,16717,"14.92","1.87","25.66"
2020,"Entre Ríos",30,16910,"12.2","1.63","17.91"
2020,"Formosa",34,8912,"14.73","1.84","28.63"
2020,"Jujuy",38,8933,"11.59","1.47","14.89"
2020,"La Pampa",42,3978,"11.1","1.52","11.86"
2020,"La Rioja",46,4763,"12.1","1.44","14.65"
2020,"Mendoza",50,23572,"11.84","1.57","12.55"
2020,"Misiones",54,21201,"16.81","2.06","29.45"
2020,"Neuquén",58,8234,"12.4","1.64","13.27"
2020,"Río Negro",62,8692,"11.63","1.55","12.09"
2020,"Salta",66,19887,"13.96","1.75","22.97"
2020,"San Juan",70,11162,"14.29","1.88","21.11"
2020,"San Luis",74,6153,"12.1","1.58","15.98"
2020,"Santa Cruz",78,4206,"11.5","1.47","11.43"
2020,"Santa Fe",82,41146,"11.63","1.54","16.62"
